marca;tier;segmento;pais_origen;precio_min;precio_max;notas
Indestructible;gama_media;marca_blanca_OEM;Italia;40;120;OEM unknown clasificación estimada [1]
Jaguar;gama_media;moda_casual;Reino Unido;90;170;Marca automotriz con gafas casuales precio medio [1]
Jimmy Choo;lujo;moda_lujo;Reino Unido;210;420;Lujo femenino precios altos [1]
Kate Spade;premium;moda_premium;Estados Unidos;90;180;Marca de moda accesible premium [1]
Lacoste;gama_media;moda_casual;Francia;70;150;Marca deportiva casual precio moderado [1]
Levi´s;gama_media;moda_casual;Estados Unidos;60;120;Casual urbano precio accesible [1]
M Missoni;premium;moda_premium;Italia;150;290;Marca de lujo arte precio medio-alto [1]
Marc Jacobs;premium;moda_premium;Estados Unidos;120;260;Marca de moda premium precios medios [2]
Max Mara;premium;moda_premium;Italia;180;340;Mujer elegante precio alto [2]
Max&Co;gama_media;moda_casual;Italia;100;180;Marca de moda media precio medio [2]
Mexx;gama_media;moda_casual;Países Bajos;60;130;Marca casual-accessible precio bajo-medio [2]
Michael Kors;premium;moda_premium;Estados Unidos;120;260;Marca de lujo accesible precio medio-alto [2]
Miraflex;licencia_infantil;infantil_licencia;Italia;60;140;Infantil según variantes precio medio [2]
Missoni;premium;moda_premium;Italia;150;300;Lujo italiano precio medio-alto [2]
Miu Miu;lujo;moda_lujo;Italia;180;360;Marca de lujo precios altos [2]
Moschino;premium;moda_premium;Italia;140;280;Moda divertida precio medio-alto [2]
Moschino Love;premium;moda_premium;Italia;140;260;Sub-marca Moschino precio similar [2]
Nano Vista;gama_media;marca_blanca_OEM;España/Italia;40;100;OEM unknown clasificación estimada [2]
Not for Kids;licencia_infantil;infantil_licencia;España;40;120;Licencia infantil precio bajo-mediano [2]
Oakley;gama_media;deportiva;Estados Unidos;100;240;Marca deportiva precio medio-alto [2]
Oliver Peoples;premium;moda_premium;Estados Unidos;180;320;Marca de lujo arte precios altos [2]
Paw Patrol;licencia_infantil;infantil_licencia;Estados Unidos;40;120;Licencia infantil precio económico [2]
Persol;premium;moda_premium;Italia;120;260;Marca italiana icónica precio medio-alto [2]
Pierre Cardin;gama_media;moda_premium;Francia;70;150;Marca de moda precio medio [2]
Polaroid;gama_media;marca_blanca_OEM;Estados Unidos;50;120;OEM Acceso económico precio bajo-medio [2]
Police;gama_media;moda_premium;Italia;90;180;Marca de moda urbana precio medio [2]
Polo Ralph Lauren;premium;moda_premium;Estados Unidos;120;260;Marca de lujo accesible precio medio-alto [2]
Prada;lujo;moda_lujo;Italia;260;520;Alta costura precios muy altos [2]
Prada Linea Rossa;lujo;moda_lujo;Italia;230;480;Sub-marca Prada deportiva precios altos [2]
Puma;gama_media;deportiva;Alemania;60;140;Marca deportiva accesible precio medio [2]
Ralph;gama_media;marca_blanca_OEM;Estados Unidos;60;120;OEM marca genérica clasificación estimada [2]
Ralph Lauren;premium;moda_premium;Estados Unidos;120;260;Marca premium precio medio-alto [2]
Ray-Ban;gama_media;moda_casual;Estados Unidos;100;240;Icono clásico precio medio-alto [2]
Saint Laurent;lujo;moda_lujo;Francia;210;420;Lujo francés precios altos [2]
Sea2See;gama_media;marca_blanca_OEM;Noruega;130;260;OEM innovación clasificación estimada [2]
Seventh Street;gama_media;marca_blanca_OEM;España;60;120;OEM unknown clasificación estimada [2]
Star Wars;licencia_infantil;infantil_licencia;Estados Unidos;40;120;Licencia infantil precio bajo-medio [2]
Swarovski;premium;moda_premium;Austria;160;320;Marca premium gafas de diseño y cristal [2]
Tiffany&Co.;lujo;moda_lujo;Estados Unidos;210;420;Lujo icónico precios altos [2]
Tom Ford;lujo;moda_lujo;Estados Unidos;260;520;Alta gama diseño de lujo [2]
Tom Tailor;gama_media;moda_casual;Alemania;60;130;Marca casual precio medio [2]
Tommy Hilfiger;gama_media;moda_casual;Estados Unidos;80;170;Marca casual-premium precio medio [2]
Under Armour;gama_media;deportiva;Estados Unidos;70;160;Deportiva activa precio medio [2]
Versace;lujo;moda_lujo;Italia;200;420;Lujo italiano precios altos [2]
Victoria Beckham;lujo;moda_premium;Reino Unido;180;360;Marca de lujo precio alto [2]
Vogue;gama_media;marca_blanca_OEM;Reino Unido / USA;50;120;OEM definición genérica clasificación estimada [3]
